milestone_id,order,epic,name,room_id_hex,status,frames_or_score,cli_tip,evidence_or_card,notes,updated
M-MORPH,10,K0,Continuous → Morph,0x9E9F,continuous,27074,morph,start_to_morph,power-on continuous,2026-08-01
M-BOMBS,20,K0,Continuous → Bombs/Torizo,0x9804,continuous,47132,bombs,start_to_bomb_torizo,hash-pinned BT ok,2026-08-01
M-SPORE,30,K0,Continuous → Spore exit,0x9DC7,continuous,73216,spore,start_to_spore_spawn,fight rewrite 2026-07-29,2026-08-01
M-SUPERS,40,K0,Continuous → Spore Supers,0x9B5B,continuous,73251,supers,start_to_supers,capacity 0→5,2026-08-01
M-RED,50,K1,Continuous → Red Tower,0xA253,continuous,80445,red_tower,start_to_red_tower,K1 tip,2026-08-01
M-BAT,60,K2,Continuous → Bat Room,0xA3DD,continuous,81652,bat,start_to_bat,,2026-08-01
M-BELOW,70,K2,Continuous → Below Spazer,0xA408,continuous,82300,below_spazer,start_to_below_spazer,,2026-08-01
M-WH,80,K2,Continuous → Warehouse,0xA6A1,continuous,83512,warehouse,start_to_warehouse,,2026-08-01
M-HJ,90,K2,Continuous → Hi-Jump Boots,0xA9E5,continuous,87696,hijump,start_to_hijump,real PLM 0x0100,2026-08-01
M-KRAID,100,K2,Continuous → Kraid entry,0xA59F,continuous,97170,kraid,start_to_kraid,,2026-08-01
M-VARIA,110,K3,Continuous → Varia Suit,0xA6E2,continuous,101954,varia,start_to_varia,best published; reverify 104382,2026-08-01
M-BUSINESS,120,K3,Continuous → Business return,0xA7DE,continuous,113723,business,start_to_business,x2 integrity green,2026-08-01
M-FROG,130,K4,Continuous → Frog Savestation,0xB167,continuous,114923,frog,start_to_frog_save,CURRENT TIP; x2 integrity green,2026-08-01
M-CATH,135,K4,Cathedral climb pure (first Bubble),0xA788,controller_dev,CATH-01/02 green,,SM-K4-CATH-03,★ next pure CATH-03; CATH-01/02 green; no Speed,2026-08-02
M-SPEEDWAY,140,K4,Pure Frog Save → Speedway (post-Speed),0xB106,parked,pure green ~295f,,SM-K4-SPEEDWAY-PURE,parked until post-Speed; Boost Blocks need Speed,2026-08-02
M-BUBBLE,150,K4,Pure → Bubble Mountain via Cathedral,0xACB3,pure_green,2609,,SM-K4-CATH-04,CATH-01..04 pure stack; not continuous; not Speedway farm path,2026-08-02
M-SPEED,160,K4,Continuous → Speed Booster,0xAD1B,open,,speed,,item collect tip,2026-08-01
M-WAVE,170,K4,Continuous → Wave Beam,0xADDE,open,,wave,,Wave branch,2026-08-01
M-ICE,180,K4,Continuous → Ice Beam,0xA890,open,,ice,,Ice branch from Business,2026-08-01
M-ALPHAPB,190,K5,Continuous → Alpha Power Bombs,0xA3AE,open,,alpha_pb,SM-ALPHA-PB-01,first PB capacity KPDR,2026-08-01
M-MOAT,200,K6,Continuous → Moat clear,0x95FF,open,,moat,SM-MOAT-01,Speed+HJ Moat,2026-08-01
M-WS,210,K6,Continuous → Wrecked Ship entry,0xCA08,open,,ws,SM-WS-01,,2026-08-01
M-PHAN,220,K6,Continuous → Phantoon defeat,0xCD13,open,,phantoon,SM-PHAN-*,natural entry first,2026-08-01
M-GRAV,230,K6,Continuous → Gravity Suit,0xCE40,open,,gravity,,post-Phantoon,2026-08-01
M-TUBE,240,K7,Continuous → Maridia tube break,0xCEFB,open,,tube,,PB glass tube,2026-08-01
M-BOTW,250,K7,Continuous → Botwoon defeat,0xD95E,open,,botwoon,SM-BOTW-*,,2026-08-01
M-DRAY,260,K7,Continuous → Draygon defeat,0xDA60,open,,draygon,SM-DRAY-*,,2026-08-01
M-SJ,270,K7,Continuous → Space Jump,0xD9AA,open,,space_jump,,post-Draygon,2026-08-01
M-LN,280,K8,Continuous → Lower Norfair entry,0xB656,open,,ln_entry,,via Bubble/GT path,2026-08-01
M-RIDLEY,290,K8,Continuous → Ridley defeat,0xB32E,open,,ridley,SM-RIDLEY-01,,2026-08-01
M-G4,300,K9,Continuous → G4 statues,0xA66A,open,,statues,,all bosses bits,2026-08-01
M-TOURIAN,310,K9,Continuous → Tourian elev,0xDAAE,open,,tourian,,,2026-08-01
M-MB,320,K9,Continuous → Mother Brain defeat,0xDD58,open,,mother_brain,SM-MB-01,multi-phase,2026-08-01
M-ESCAPE,330,K9,Continuous → Escape + Landing,0x91F8,open,,escape,SM-ESCAPE-01,timer + ship,2026-08-01
M-CREDITS,340,K9,Continuous → Ending/Credits,0x91F8,open,,credits,,M8 gate; full clear,2026-08-01
P-EASY,400,PRACTICE,Room practice easy+standard ready,,partial,62/108,,ROOM_WORK_QUEUE,dual-track only,2026-08-01
P-TOUGH,410,PRACTICE,Room practice tough queue,,open,0/117,,ROOM_WORK_QUEUE,after easy/standard,2026-08-01
P-LATE,420,PRACTICE,Room practice late_special+boss,,open,0/38,,ROOM_WORK_QUEUE,,2026-08-01
P-PATH,430,PRACTICE,Completion-path rooms continuous,,partial,39/107,,PATH_ROOM_BOARD,play clearance,2026-08-01
C-INFRA,450,CLEAN,Clean CLI + artifacts + integrity,,continuous,,,SM-CLEAN-ARTIFACTS;SM-CLEAN-CLI;SM-CLEAN-INTEGRITY,infra landed 2026-08-01; unit tests green,2026-08-01
C-MORPH,460,CLEAN,Continuous → Morph (Clean),0x9E9F,continuous,27074,morph,SM-CLEAN-MORPH,start_to_morph_clean green 2026-08-02; 0 resource writes,2026-08-02
C-BOMBS,470,CLEAN,Continuous → Bombs/Torizo (Clean) ★,0x9804,open,,bombs,SM-CLEAN-BOMBS,★ tip; missiles detour green clean; BT existing model,2026-08-02
C-SPORE,480,CLEAN,Continuous → Spore (Clean),0x9DC7,parked,,spore,SM-CLEAN-SPORE,after C-BOMBS green,2026-08-01
C-SUPERS,490,CLEAN,Continuous → Supers (Clean),0x9B5B,parked,,supers,SM-CLEAN-SUPERS,parked privilege ladder,2026-08-01
A-TIPSPEC,500,ARCH,Data-driven continuous tips complete,,partial,,,SM-ARCH-TIP-SPEC,hop extract open,2026-08-01
A-GRAPH,510,ARCH,Graph API typed path summary,,partial,,,SM-ARCH-GRAPH-API,,2026-08-01
A-PARSE,520,ARCH,Session-scoped parse counters,,partial,,,SM-ARCH-PARSE-SCOPE,,2026-08-01
